UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/05/2023","100-Concert Band","1","Childress ISD","038-901","Childress","Andrew Fowler","Charles Stahl","","AAA","Varsity","","188434","Shadow Cove March","Randall Standridge","Red Giant (22327) ","Vargas","Medieval Legend (650) ","Story","Robert Rubio","Nicole Baxter","Jon Seale","3","2","3","3","Rodney Gurley","Mike Glaze","James Nance","3","2","3","3",""
"04/12/2023","100-Concert Band","1","Childress JH","038-901","Childress","Charles Stahl","Andrew Fowler","","C","Varsity","","189183","Acclaim March","Larry Clark","Plaza de Toros (20709) ","Story","Night Fury (20593) ","Chambers","Greg Montgomery","Mike Glaze","Jason Jones","4","4","3","4","Sam Labordus","Mike Lunney","Suzanne Rhynes","3","3","3","3",""
"03/07/2023","100-Concert Band","1","Clarendon High School","065901001","Clarendon","Jacob Diaz","","","AA","Varsity","","178639","The Gladiator","Sousa/Story","Great Beginnings","Kamuf","Armory","Standridge","Michael Childs","Harold Bufe","Carroll Rhodes","2","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","2","1","2","2","1"
"03/07/2023","100-Concert Band","1","Claude High School","006902","Claude","Shelley Thornton","","","A","Varsity","","181864","Winchester March","John Edmondson","Colliding Visions (17502) ","Balmages","Armory (19597) ","Standridge","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Crockett Middle School","TX-188901-188901043","Amarillo","Ian Tackitt","","","CC","Non-Varsity","A","189964","'Synergy' March","William Owens","Sakura (62)","Traditional/Story","Throne of Swords (24123)","Miller/","Greg Montgomery","Mike Glaze","Jason Jones","1","1","2","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","3","1","2","2"
"04/12/2023","100-Concert Band","1","Crockett Middle School","TX-188901-188901043","Amarillo","Barry Blackwell","Ian Tackitt  Sara Rhynes","","CC","Varsity","","189958","The Red Cape","Meredith","Colliding Visions (17502)","Balmages","Kentucky 1800 (29)","Grundman","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Dalhart High School","056901","Dalhart","Joshua Bell","Irene Durbak","","AAA","Varsity","","182061","Darklands March","Standridge ","Expectations (19603)","Clark","Shadow of the Longship (20754) ","Rath","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Dalhart Junior High","056901042","Dalhart","Irene Durbak","Joshua Bell","","CC","Varsity","","183095","All for One  One for All","Carol Brittin Chambers","Colliding Visions (17502)","Balmages","Majestica (17490) ","Gazlay","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","3","1","2","2"
"04/12/2023","100-Concert Band","1","de Zavala Middle School","188901049","Amarillo","Britni Nuckols","Chase Cunningham  Justin Nuckols  David Spence  James Dewey","","C","Varsity","","189439","Wings to the Mind","Balmages","Lost Woods Fantasy (22321) ","Hall","Baywood March","Lee","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Dimmitt HS","035-901","Dimmitt","Rick Ball","","","AAA","Varsity","","183057","Command March","Edmondson","In The Bleak Midwinter (34)","Holst/Bullock","Two British Folk Songs","Del Borgo","Michael Childs","Harold Bufe","Carroll Rhodes","2","2","1","2","Rodney Bennett","Cliff Franklin","Jon Kraemer","2","2","2","2",""
"03/07/2023","100-Concert Band","1","Dumas High School","171-901","Dumas","Zachary Sedlacek","Rebecca Carter  James Carter  Heather Seward","","AAAA","Non-Varsity","","182776","Grand Galop","Johnnie Vinson","Lux Prima (Come  My Soul  Thou Must Be Awakening) (17489) ","Haydn/Ford","Tripwire ","Hall","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Dumas High School","171-901","Dumas","Rebecca Carter","Zach Sedlacek  James Carter  Heather Seward  and Tyler Seward","","AAAA","Varsity","","180697","Aces of the Air","King/Swearingen","Heal (24133) ","Smith","Symphonic Dance No. 3 (Fiesta) (430) ","Williams","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
