UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/11/2023","931-Mixed Chorus","1","Amarillo High School","188901","Amarillo","Carolyn Terrell","Larissa Cunningham","Nathan Fryml","AAAAA","Varsity","","190020","Zum Gali ","Goldman","Ubi Caritas ","Durufle ","All Things New ","Hagenberg ","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","A"
"04/11/2023","931-Mixed Chorus","1","Amarillo High School","188901","Amarillo","Carolyn Terrell","Larissa Cunningham","Nathan Fryml","AAAAA","Non-Varsity","","190019","Tyger","Hagenberg","Bonzorno Madonna  ","Leavitt","Sing Out Your Joy","Johnson","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"04/11/2023","931-Mixed Chorus","1","Amarillo High School","188901001","Amarillo","Larissa Cunningham","Carolyn Terrell","Cristi Dollar","AAAAA","Sub Non-Varsity","","189384","Der Tanz (11740) (German) (accomp)","Schubert/Robinson","Seeds Grow To Plants (from Canticles of America) (11739) (SSATB) (accomp)","Rutter","Circa Mea","Mark Burrows","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"03/29/2023","931-Mixed Chorus","1","Bonham MS","188-901-048","Amarillo","Lizzi Manfredi","Nakita Vickery","Marcus Bradford","CC","Varsity","","188109","Magnify His Name (11483) (2 vln) (accomp)","Greene/Shotts","The Colorado Trail","Lyle","Keep Your Lamps! (11305) (conga drums) (a cappella)","Anon. or Trad./Thomas","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","C"
"04/11/2023","931-Mixed Chorus","1","Borger High School","2197321","Borger","Tayten Martin","Kit Boyington","Melanie Sharp","AAAA","Non-Varsity","","189932","There Will Come Soft Rains","Farnell","O Bella Fusa","Di Lasso/Robinson","Stars I Shall Find","Johnson","Brett Farr","Frank Eychaner","Eric Hindman","2","3","2","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","2"
"03/29/2023","931-Mixed Chorus","1","Borger Middle School","117901041","Borger","Kit Boyington","","Melanie Sharp","CC","Non-Varsity","","186525","Come  Ye Sons of Art (22743) (3 part mixed) (accomp)","Purcell/Gilpin","Veni Jesu (22742) (3 part mixed) (opt piano) (a cappella)","Cherubini/Robinson","Shoshone Love Song (11247) (3 part mixed) (accomp)","Emerson","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","3","3","3",""
"04/11/2023","931-Mixed Chorus","1","Bushland HS","188904","Bushland","Judy Harvel","","Stephanie Fauss","AAA","Varsity","","184172","Sing Forever to the Lord (11513) (SAB) (accomp)","Paige","Jubilate Deo (15025) (a cappella)","Halmos","The Seal Lullaby","Eric Whitacre","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","A"
"04/11/2023","931-Mixed Chorus","1","Canyon High School","191-901","Amarillo","Anthony Vickery","Brandon Farren","Mykel Byersmith","AAAA","Non-Varsity","","189872","Der Tanz (11740) (German) (accomp)","Schubert/Robinson","As Torrents in Summer (15072) (a cappella)","Elgar/Livingston","Cover me with the night","Ramsey","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"04/11/2023","931-Mixed Chorus","1","Canyon High School","191901001","Canyon","Brandon Farren","Anthony Vickery","Mykel Byersmith","AAAA","Varsity","","189867","Ihr Musici  Frisch auf! (16782) (SSATBB) (a cappella)","Hassler/Michaels","Set Me As A Seal (from a new Creation) (11615) (SATB div) (a cappella)","Clausen","The Conversion of Saul","Stroope","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","A"
"03/29/2023","931-Mixed Chorus","1","Canyon Jr High","191-901-041","Canyon","Heather Farren","Jeremy Talley","Mykel Byersmith","CC","Non-Varsity","","182694","Shoshone Love Song","Roger Emerson","Veni Jesu","Russell Robinson","Why We Sing","Greg Gilpin","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","D"
"04/11/2023","931-Mixed Chorus","1","Caprock High School","188901002","Amarillo","Yiqi Luo","Andrea Cruz","Rene Brain","AAAAA","Sub Non-Varsity","","188758","Come  Live With Pleasure (11252) (SAB  opt solo) (opt flutes) (accomp)","Handel/Liebergen","Rise Up In Festive Song (14987) (SAB) (opt hand drum and finger cymbals or triangle) (a cappella)","Clereau/Liebergen","Good News!","Arr. Roger Emerson","Brett Farr","Frank Eychaner","Eric Hindman","3","3","3","3","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","3","4","3","3",""
"04/11/2023","931-Mixed Chorus","1","Caprock High School","188901002","Amarillo","Andrea Cruz","Yiqi Luo","Yiqi Luo","AAAAA","Non-Varsity","","183571","Ma Bella Bimba (21934) (accomp)","Moore","Agnus Dei (11439) (Latin) (a cappella)","Porterfield","Santo","Mark Burrows","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","2","2","2","2","2"
"04/11/2023","931-Mixed Chorus","1","Caprock High School","188901002","Amarillo","Andrea Cruz","Yiqi Luo","Yiqi Luo","AAAAA","Varsity","","183569","Placido e il mar (11728) (Italian) (accomp)","Mozart/Wagner","Earth Song (17750) (SATB) (a cappella)","Ticheli","Circa Mea","Mark Burrows","Brett Farr","Frank Eychaner","Eric Hindman","1","2","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","A"
"04/11/2023","931-Mixed Chorus","1","Dumas High School","171-901","Dumas","Rhonda Swanson","Eric Armer","Eric Armer","AAAA","Varsity","","189895","Riu Riu Chiu (11523) (Spanish) (SAB or SATB) (w/ designated inst) (accomp)","Anon. or Trad./Snyder","Elijah Rock (20702) (SATB  ) (accomp)","Spiritual/Emerson","An Irish Blessing (11228) (SAB) (a cappella)","DeWitt","Brett Farr","Frank Eychaner","Eric Hindman","2","2","2","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","4","4","5","4",""
"04/11/2023","931-Mixed Chorus","1","Friona High School","185903","Friona","Caisey Fowler","Chris Rackley","none","AAA","Varsity","","188450","O Magnum Mysterium","Evan Ramos","And the Green Grass Grew","Donald Moore","Bonse Aba","Victor Johsnon","Brett Farr","Frank Eychaner","Eric Hindman","3","3","3","3","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","2","1","2","2",""
"04/11/2023","931-Mixed Chorus","1","Hereford HS","hereford texas","Hereford","Peggy LaMascus","","Margaret Williams","AAAA","Varsity","","189475","Agnus Dei (11439) (Latin) (a cappella)","Porterfield","Away from the Roll of the Sea (11501) (accomp)","MacGillivray","Battle of Jericho","Mark Hayes","Brett Farr","Frank Eychaner","Eric Hindman","3","3","3","3","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","4","4","4","4",""
"04/11/2023","931-Mixed Chorus","1","Palo Duro High School","188901004","Amarillo","Mark Bailey","","Libby Clifton","AAAAA","Non-Varsity","","189437","Ill Say It Anyway (Je le vous dirai!) (11275) (French) (a cappella)","Anon. or Trad./Certon/Hirt","II. Take  O take those lips away (from Three Madrigals) (15525) (accomp)","Diemer","Cover Me with the Night","Andrea Ramsey","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"04/11/2023","931-Mixed Chorus","1","Pampa High School","090904","PAMPA","Brianna Montgomery","Tammy May","May/Montgomery","AAAA","Varsity","","184226","Omnia Sol","Stroope","Ave Maria (11672) (SATB div)(Latin) (a cappella)","Rachmaninoff/Cramer","Festival Sanctus (11716) (SATB)(Latin) (accomp)","Leavitt","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","A"
"04/11/2023","931-Mixed Chorus","1","Perryton High School","179901","Perryton ","Keith Harris","TKaye Arruda","Brenda Schnabel","AAAA","Varsity","","189771","Shout to God (16803) (SATB) (accomp)","Martin","O Magnum Mysterium (25321) (SAB or SATB) (a cappella)","Ramos","The Cloths of Heaven","Stroope","Brett Farr","Frank Eychaner","Eric Hindman","2","2","1","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","2","2","2","2",""
"04/11/2023","931-Mixed Chorus","1","Randall High School","191901002","Amarillo","Matthew Miller","Kelli Harter","Kim Miller","AAAA","Non-Varsity","","189876","Non Nobis Domine (SAB) (accomp)","Byrd/Robinson","Sing to the Lord (11227) (SAB) (a cappella)","Crocker","Keep Your Lamps (20829) (SAB) (accomp)","Johnson","Brett Farr","Frank Eychaner","Eric Hindman","2","2","2","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","2","1","1","2"
"04/11/2023","931-Mixed Chorus","1","Randall High School ","191901002","Amarillo","Kelli Harter","Matthew Miller","Matthew Miller","AAAA","Varsity","","189049","Ave Verum (11937) (Latin) (keyboard; strings opt) (accomp)","Mozart/Collins","Muie Rendera (11833) (Portuguese) (SSATB) (a cappella)","Fonseca","Shout For Joy!      David Paul Henry ","","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","A"
"04/11/2023","931-Mixed Chorus","1","Tascosa High school","188901005","Amarillo","Kyle Worley","Tiffany Russell","James Rauscher","AAAAA","Non-Varsity","","189739","Didn't My Lord Deliver Daniel","Emerson","Danny Boy and Shenandoah","Gilpin","Set Me as a Seal","Leavitt","Brett Farr","Frank Eychaner","Eric Hindman","3","2","2","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","2","2","2","2",""
"04/11/2023","931-Mixed Chorus","1","Tascosa High School","188901005","Amarillo","Tiffany Russell","Kyle Worley","James Rauscher","AAAAA","Varsity","","189737","Hark  I Hear the Harps Eternal (11874) (SATB divisi) (a cappella)","Anon. or Trad./Parker","I Am Not Yours (18256) (SATB) (accomp)","Dickau","Liebeslieder Walzer Op. 52 Movement 16","Brahms/Shaw","Brett Farr","Frank Eychaner","Eric Hindman","1","2","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","A"
"04/11/2023","931-Mixed Chorus","1","West Plains HS","191901005","Amarillo","Christian Farren","","Byersmith  Mykel","AAAA","Non-Varsity","","188906","Viva! (21951) (accomp)","Mozart/Liebergen","Good Night  Dear Heart","Dan Forrest","Hold On (25320) (live accomp ONLY  NO PianoTrax) (accomp)","Traditional Spiritual/Johnson","Brett Farr","Frank Eychaner","Eric Hindman","2","2","2","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","2"
"04/11/2023","933-Tenor/Bass Chorus","1","Amarillo High School","188901","Amarillo","Carolyn Terrell","Larissa Cunningham","Nathan Fryml","AAAAA","Varsity","","190022","De Animals ","Bartholomew","Advent Carol ","Pfautsch","Flying Solo ","Silvey","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","B"
"04/11/2023","933-Tenor/Bass Chorus","1","Amarillo High School","1889001001","Amarillo","Larissa Cunningham","Carolyn Terrell","Christi Dollar","AAAAA","Non-Varsity","","186522","I. The Ceremony (from A Trilogy of Knighthood)","Bray","She is Evening","Courtney","Vive La Compagnie!","Leavitt","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"03/29/2023","933-Tenor/Bass Chorus","1","Austin Middle School","188901041","Amarillo","Julie Coe","","Jacob Miller","CC","Non-Varsity","","186942","Leave Her Johnny","arr. Crocker","Aura Lee","Poulton/Crocker","All the World Was Made For Me","Farmell","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","3","3","2","3","2"
"03/29/2023","933-Tenor/Bass Chorus","1","Bonham Middle School","2264242","Amarillo","Nakita Vickery","","Marcus Bradford","CC","Non-Varsity","","187686","The Vagabond","Laura Farnell","Ballena","Christi Jones","Over My Head","Emily Crocker","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","3","2","2","2"
"03/29/2023","933-Tenor/Bass Chorus","1","Bonham MS","188-901-048","Amarillo","Lizzi Manfredi","Nakita Vickery","Marcus Bradford","CC","Varsity","","188110","Omnia Vincit Amor (20801) (TB)(accomp or accapella)","Trotta","Soldiers Hallelujah (12701) (TB) (opt snare and tenor drum) (a cappella)","Singh","Tell My Father","Ramsey","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","C"
"03/29/2023","933-Tenor/Bass Chorus","1","Borger Middle School","117901041","Borger","Kit Boyington","","Melanie Sharp","CC","Non-Varsity","","186134","Lil Liza Jane (19551) (TB) (accomp)","De Lachau/Baas and James","Three Latin Songs (18500) (T(T)B)(perform number 1 or 3) (a cappella)","Farnell","She Is Evening (18504) (T(T)B) (accomp)","Courtney","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","2","2","2","2"
"03/29/2023","933-Tenor/Bass Chorus","1","Bowie Middle School","188901042	","Amarillo","Brian Warren","","Libby Clifton","CCC","Non-Varsity","","185154","Set Me As a Seal Upon Your Heart (16952) (TB) (accomp)","Farnell","The Cowboy (21967) (a cappella or accompanied) (accomp)","Winebrenner","Wade in the Water (25363) (opt solo) (accomp)","Traditional/Davison","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","1","2","2",""
"03/29/2023","933-Tenor/Bass Chorus","1","Bushland Middle School","188904-041","Amarillo","Clayton Martin","Judy Harvel","Allison Johnston","CC","Non-Varsity","","186743","Our Fearful Trip Is Done","Bobby L. Siltman","Bella Ciao","Christi Jones","She Walks In Beauty","Laura Farnell","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","2","2",""
"04/11/2023","933-Tenor/Bass Chorus","1","Canyon High School","191901001","Canyon","Brandon Farren","Anthony Vickery","Mykel Byersmith","AAAA","Varsity","","189870","Wait For The Wagon (12850) (tenor solo) (a cappella)","Anon. or Trad./Buckley/Hunter/Shaw","Die Minnesanger (The Minnesingers) (12872) (German) (a cappella)","Schumann/Pfautsch/Oltman","The Parting Glass (21988) (a cappella)","Marrolli","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","B"
"03/29/2023","933-Tenor/Bass Chorus","1","Canyon Jr High","191-901-041","Canyon","Heather Farren","Jeremy Talley","Mykel Byersmith","CC","Varsity","","182693","My Love is Perfection to Me","Vicki Tucker Courtney","How Sweet the Sound","Christi Jones","Rest Not!","Laura Farnell","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","C"
"03/29/2023","933-Tenor/Bass Chorus","1","Crockett Middle School","2264242","Amarillo","Nakita Vickery","","Christi Dollar","CC","Non-Varsity","","187964","The Vagabond","Laura Farnell","Three Latin Songs  Gloria Deo","Laura Farnell","Cowboy Song","Tim Winebrenner","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","1","3","2",""
"03/29/2023","933-Tenor/Bass Chorus","1","Crockett Middle School","88901043","Amarillo","Lauren Mellinger ","","Cristi Dollar","CC","Varsity","","186775","Sing to the Lord ","Crocker","Aya Ngena","Gray","Sea Fever (22295)","Porterfield","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","2","1","C"
"03/29/2023","933-Tenor/Bass Chorus","1","de Zavala Middle School","188-901-049","Amarillo","Bryan Hackett","","Cristi Dollar","C","Varsity","","185992","Colorado Trail (12713) (accomp)","Anon. or Trad./Moore","Rosalee (12717) (accomp)","Perry","Lil Liza Jane (15237) (TTB changing voices) (a cappella)","Anon. or Trad./Krunnfusz","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","1","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","2","2",""
"03/29/2023","933-Tenor/Bass Chorus","1","Dumas Junior High","171-901","Dumas","Rhonda Swanson","Eric Armer","Rhonda Swanson","CC","Non-Varsity","A","186442","Codfish Shanty (15221) (accomp)","Anon. or Trad./Singh","The Colorado Trail (25361) (accomp)","Traditional Folk Song/Crocker","We Will Lead The Way","Underwood  Idona","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","4","3","3","3","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","4","5","4","4",""
"03/29/2023","933-Tenor/Bass Chorus","1","Fannin Middle School","188-901-044","Amarillo","Holly Johnston","","Allison Johnston","CC","Non-Varsity","","183506","Jubliate Deo (from Three Latin Songs)","Farnell","She Wakes the Dawn","Courtney","We're the Men","Althouse","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","1","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","3","2",""
"04/11/2023","933-Tenor/Bass Chorus","1","Palo Duro High School","188901004","Amarillo","Mark Bailey","","Libby Clifton","AAAAA","Non-Varsity","","189435","Novum Gaudia (15249) [T(T)B(B)] (opt drum and handbells) (a cappella)","Anon. or Trad./Singh","Caro Mio Ben","Giuseppe Giordani / Gary Lewis","A Festive Alleluia (19397) (accomp)","Lightfoot","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"04/11/2023","933-Tenor/Bass Chorus","1","Pampa High School","090904","PAMPA","Brianna Montgomery","Tammy May","May/Montgomery","AAAA","Varsity","","184231","Do You Fear the Wind (12869) (a cappella)","Sateren","For The Fallen (12906) (accomp)","Sammes","What Shall We Do with a Drunken Sailor (16927) (TTBB) (accomp)","Anon. or Trad./Eddleman","Brett Farr","Frank Eychaner","Eric Hindman","1","2","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","2","2","2","2","1"
"03/29/2023","933-Tenor/Bass Chorus","1","Pampa Junior High","090904","Pampa","Stacy Pepper","Clay Hensley","Tammy May","CC","Non-Varsity","","182484","The Rail Worker (19590) (TB)(A Capella only) (a cappella)","Winebrenner","Sons Of Art (12603) (a cappella)","Anon. or Trad./Crocker/Leavitt","Aura Lee (12623) (accomp)","Poulton/Crocker","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","1","2",""
"03/29/2023","933-Tenor/Bass Chorus","1","Perryton Junior High","179901","Perryton","Teri Arruda","Keith Harris","Brenda Schnabel","CC","Varsity","","187000","The Open Road (17789) TB (opt. accomp)","Farnell","In Everything Her Loveliness (22702) (TB) (accomp)","Courtney","Every Time I Feel the Spirit (16972) (TB) (accomp)","Anon. or Trad./Moore","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","4","3","3","3",""
"04/11/2023","933-Tenor/Bass Chorus","1","Randall High School ","191901002","Amarillo","Kelli Harter","Matthew Miller","Matthew Miller","AAAA","Varsity","","189053","Brothers  Sing On! (12847) (TTBB) (a cappella)","Grieg/McKinney","Be Thou My Vision (12896) (TBB) (opt bass solo) (accomp)","Anon. or Trad./Hunter","Tantsulaul         Veljo Tormis","","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","B"
"03/29/2023","933-Tenor/Bass Chorus","1","Randall Junior High","1910901045","Amarillo","Morgan Farren","","Matthew Miller","CC","Non-Varsity","","184433","Shoshone Love Song","Emerson","Wade in the Water","Davidson","Jubilate Deo (Two Latin Settings)","Patterson","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","D"
"04/11/2023","933-Tenor/Bass Chorus","1","Tascosa High school","188901005","Amarillo","Kyle Worley","Tiffany Russell","James Rauscher","AAAAA","Non-Varsity","","189742","Sing Me a Song of a Lad That Is Gone","Johnson","Rock Island Line","Schram","The Open Road","Farnell","Brett Farr","Frank Eychaner","Eric Hindman","2","2","2","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","2","2","2","2",""
"04/11/2023","933-Tenor/Bass Chorus","1","Tascosa High School","188901005","Amarillo","Tiffany Russell","Kyle Worley","James Rauscher","AAAAA","Varsity","","189740","The Awakening (13002) (accomp)","Martin","Si Iniquitates Observaveris (12883) (Latin) (TBB) (a cappella)","Wesley","Vive LAmour (12965) (baritone solo) (a cappella)","Anon. or Trad./Shaw/Parker","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","B"
"04/11/2023","933-Tenor/Bass Chorus","1","West Plains HS","191901005","Amarillo","Christian Farren","","Byersmith  Mykel","AAAA","Non-Varsity","","189701","O Sing to the Lord (22713) (TB) (opt divisi) (accomp)","Davison","O Magnum Mysterium (25373) (a cappella)","Ramos","Stand Tall O Man (20846) (TTB) (accomp)","Berg","Brett Farr","Frank Eychaner","Eric Hindman","3","2","2","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","2"
"03/29/2023","933-Tenor/Bass Chorus","1","West Plains Junior High School","191901043","Amarillo","Mika Daniels","","Marcus Bradford","CC","Non-Varsity","","182800","None of Us Cared for Kate (17785) TB (opt. accomp)","Farnell","Aura Lee (12623) (accomp)","Poulton/Crocker","Get Along Home  Cindy","Patti Drennan","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","1","2",""
"04/11/2023","935-Treble Chorus","1","Amarillo High School","188901","Amarillo","Carolyn Terrell","Larissa Cunningham","Nathan Fryml","AAAAA","Varsity","","190021","T�r�t �szik a Cig�ny ","Zolt�n Kod�ly  ","Mary Speaks ","Gawthrop","Ride On King Jesus","Hogan","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","B"
"04/11/2023","935-Treble Chorus","1","Amarillo High School","1889001001","Amarillo","Larissa Cunningham","Carolyn Terrell","Christi Dollar","AAAAA","Non-Varsity","","186578","In Time of Silver Rain","Snyder","Hear the Joy","Arcadelt/Liebergen","Gloria Deo!","Johnson","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"03/29/2023","935-Treble Chorus","1","Austin Middle School","188901041","Amarillo","Julie Coe","","Jacob Miller","CC","Varsity","","186944","A Festive Alleluia","Lightfoot","Antiphonal Kyrie","Thrift","Song of the River","Patterson","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","1","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","2","2",""
"03/29/2023","935-Treble Chorus","1","Bonham Middle School","2264242","Amarillo","Nakita Vickery","","Marcus Bradford","CC","Non-Varsity","","187683","The Clouds","Cynthia Gray","I�ve Been in the Storm So Long","Christi Jones","Dodi Li","Chen/Rao","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","D"
"03/29/2023","935-Treble Chorus","1","Bonham MS","188-901-048","Amarillo","Lizzi Manfredi","Nakita Vickery","Marcus Bradford","CC","Varsity","","188111","Viva! from Il re pastore (24271) (SSA) (Italian REQUIRED) (accomp)","Mozart/Liebergen","Love Me Little (17833) (SSA) (accomp)","Ewer","A New Day (15423) (a cappella)","Snyder","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","C"
"03/29/2023","935-Treble Chorus","1","Borger Middle School","117901041","Borger","Kit Boyington","","Melanie Sharp","CC","Varsity","","186129","Sim Shalom (25389) (opt violin) (accomp)","Gray","Like A Rose in the Summer (18511) (SA) (a cappella)","Crocker","Something Told the Wild Geese (22836) (2 part) (accomp)","Gilpin","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","2","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","3","3","3","2"
"03/29/2023","935-Treble Chorus","1","Bowie Middle School","188901042	","Amarillo","Brian Warren","","Libby Clifton","CCC","Varsity","","185152","Lacrimosa Menuet (25396) (SA) (opt divisi) (accomp)","Jones","I've Been in the Storm So Long","Jones","Tecolote (22840) (SA) (accomp)","New Mexico Folk Song/Herrington","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","1","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","4","3","3",""
"03/29/2023","935-Treble Chorus","1","Bushland Middle School","188904-041","Amarillo","Clayton Martin","Judy Harvel","Allison Johnston","CC","Varsity","","186742","Love In Thy Youth","Emily Crocker","Be Joyful","Jean Baptiste Lully/Patrick M. Liebergen","God Be In My Head","Andrea Ramsey","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","3","4","4","4",""
"04/11/2023","935-Treble Chorus","1","Canyon High School","191901001","Canyon","Brandon Farren","Anthony Vickery","Mykel Byersmith","AAAA","Varsity","","189871","Lift Thine Eyes to the Mountains (12385) (a cappella)","Mendelssohn","Weep No More","Childs","Mouth Music (15480) (SSA) (drum) (a cappella)","Keane/Faulkner","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","B"
