School,Director(s),Grade,,Judge 1,Judge 2,Judge 3,SR,Overall,District,Level
East Burke High School Wind Ensemble,Jonathan C. Berry,V/VI,,II,II,II,I,Excellent,Northwestern,HS
Maiden High School Symphonic Band,Nickey Horner,VI,,I,I,I,II,Superior,Northwestern,HS
East Davidson Wind Ensemble,David Deese & Christina Carter,VI,,I,I,I,I,Superior,Northwestern,HS
Hudson Middle School Eighth Grade Band,Leah Massey,II/III,,I,I,I,I,Superior,Northwestern,MS
East Burke Middle School 7th/8th Grade Band,Carla Draughn,III,,II,II,II,I,Excellent,Northwestern,MS
Ashe County Middle School Intermediate Band,Lindsay Scarborough,I,,III,III,III,n/a,Average,Northwestern,MS
Southeast Middle School ,Eugene Mabry,II,,I,I,I,I,Superior,Northwestern,MS
North Davie Middle School 8th Grade Band,Sean Nelson,II,,III,III,IV,II,Average,Northwestern,MS
William Lenoir Middle School 7th Grade Band,Terry Reid,II,,I,I,I,I,Superior,Northwestern,MS
Liberty Middle School Symphonic Band,Alex Powell,III,,I,I,I,I,Superior,Northwestern,MS
Hanes Magnet School Advanced 8th Grade Band,Mary Kathryn Bowman Choat/Andrew Craft,IV,,I,I,I,I,Superior,Northwestern,MS
Central Davidson Middle School 8th Grade Band,Wes Richardson/Rodney K. Workman/Douglas Rowe,III,,I,I,I,I,Superior,Northwestern,MS
Tyro Middle School 8th Grade Band,Parker Cox,II,,III,II,II,I,Excellent,Northwestern,MS
Walter Johnson Middle School Band,Erin France,I,,II,II,III,n/a,Excellent,Northwestern,MS
Heritage Middle School 8th Grade Band,Aaron P. Poteat,II,,II,II,II,I,Excellent,Northwestern,MS
H.M. Arndt Middle School Concert Band,Kevin Townsend,II,,I,II,I,I,Superior,Northwestern,MS
Northwest Middle School,Joshua Dickens,II,,CO,CO,CO,CO,Comments,Northwestern,MS
Ledford Middle School 7th Grade Band,David Haynes/Greg Gibson,II,,II,II,II,I,Excellent,Northwestern,MS
Meadowlark Middle School Eighth Grade Band,Matt Liner,III,,I,I,I,I,Superior,Northwestern,MS
West Alexander Middle School Concert Band,Matthew Cochran,II,,I,I,I,I,Superior,Northwestern,MS
Jacobs Fork Middle School 8th Grade Band,Amy Alexander,II,,II,II,II,I,Excellent,Northwestern,MS
East Alexander Middle School Band,Melanie H. Watson,II,,II,II,I,I,Superior,Northwestern,MS
Lakeshore Middle School Advanced Band,Kathryn Redling,II/III,,III,III,III,I,Average,Northwestern,MS
East Forsyth Middle School 8th Grade Advanced Band,Erin Haley,II,,IV,IV,IV,II,Below Average,Northwestern,MS
Avery Middle School Band,Dee Raby,I/II,,II,II,II,n/a,Excellent,Northwestern,MS
Walkertown Middle School Band,Quincy Lundy/Forrest Munden,II,,I,I,I,I,Superior,Northwestern,MS
North Davidson Middle School Wind Ensemble,Paul Jackson/Cathryn Cabaniss,II/III,,II,II,II,I,Excellent,Northwestern,MS
William Ellis Middle School 8th Grade Band,Mandy James,III,,II,II,I,I,Superior,Northwestern,MS
Southeastern Stokes Middle School Eighth Grade Band,Justin Carter,II,,II,II,II,I,Excellent,Northwestern,MS
Ledford Middle School 8th Grade Band,David Haynes/Greg Gibson,II,,II,II,II,I,Excellent,Northwestern,MS
Chestnut Grove Middle School Band,Dylan Jones,II,,CO,CO,CO,CO,Comments,Northwestern,MS
William Lenoir Middle School 8th Grade,Terry Reid,III,,I,I,I,I,Superior,Northwestern,MS
Northview Middle School Band,David Wortman,III/IV,,II,II,II,I,Excellent,Northwestern,MS
Thomasville Middle School 8th Grade Band,Alex Canup,I,,III,III,III,n/a,Average,Northwestern,MS
Parkway Elementary 7/8 Middle School Band,Judd Pinnix,II,,III,III,III,II,Average,Northwestern,MS
East Wilkes Middle School 7th and 8th Grade Concert Band,Jennifer Weddington,II,,II,II,II,I,Excellent,Northwestern,MS
Clemmons Middle School 7th and 8th Grade Band,Ron Forsh,I/II,,I,I,I,n/a,Superior,Northwestern,MS
Happy Valley School Concert Band,Lara Crumpton,I,,II,II,II,n/a,Excellent,Northwestern,MS
Maiden Middle School Band,Nickey Horner,II,,III,II,II,I,Excellent,Northwestern,MS
Granite Falls Middle School 7th Grade Band,Patrick Haymore,II,,I,I,I,I,Superior,Northwestern,MS
West Iredell Middle School 7th and 8th Grade Band,Ward Wilson,II,,III,III,III,I,Average,Northwestern,MS
Oak Grove Middle School 8th Grade Band,Alex Larsen/Mike Howell,II,,I,I,I,I,Superior,Northwestern,MS
North Wilkes Middle School Concert Band,Jacob Brittain,II,,II,II,II,I,Excellent,Northwestern,MS
Granite Fall Middle School 8th Grade Band,Patrick Haymore,III,,I,I,I,I,Superior,Northwestern,MS
Marvin Ridge Middle School 8th Grade Band,Matthew Mallery,III,,I,I,I,I,Superior,Northwestern,MS
Gamewell Middle School 8th Grade Band,Steven Robison,II,,I,I,I,I,Superior,Northwestern,MS
Tyro Middle School 7th Grade Band,Parker Cox,I/II,,II,II,II,n/a,Excellent,Northwestern,MS
Central Wilkes Middle School,Dustin Wallace,II,,II,II,II,I,Excellent,Northwestern,MS
Thomas Jefferson Middle School 8th Grade Band,Adam Joiner,III,,I,I,I,I,Superior,Northwestern,MS
South Davie Middle School 8th Grade Band,Justin McCrary,III,,I,I,I,I,Superior,Northwestern,MS
E.L. Brown Middle School Eighth Grade Band,Christina Carter/David Deese,III,,II,II,II,I,Excellent,Northwestern,MS
Paisley IB Magnet Middle School Concert Band,Greg Dills,III,,I,I,I,I,Superior,Northwestern,MS
Albemarle High School Band,Daniel Cline,II,,II,II,II,I,Excellent,South Central,HS
Salisbury Wind Ensemble,Mallory Norton,II/III,,IV,III,III,II,Average,South Central,HS
Central Cabarrus Concert Band,Tyler Stark,III,,III,III,II,I,Excellent,South Central,HS
East Lincoln Symphonic Band,Matthew Brusseau,III,,III,II,II,I,Excellent,South Central,HS
Lake Norman Charter Concert Band,Dylan Scaringelli,III,,II,II,I,I,Superior,South Central,HS
Mooresville Concert Band,Cory Gudger,III,,II,II,I,I,Superior,South Central,HS
Olympic Symphonic Band,James Smallwood,III,,II,II,II,I,Excellent,South Central,HS
Piedmont Concert Band,Jody Lukac,III,,III,III,II,I,Excellent,South Central,HS
South Stanly Concert Band,Andrew Warburton,III,,III,III,III,I,Average,South Central,HS
West Stanly Wind Ensemble,Derek Smith,III,,I,II,I,I,Superior,South Central,HS
Charlotte Latin Upper School Band,Jocquin Fuller,III/IV,,I,I,II,I,Superior,South Central,HS
Cox Mill Concert Band,Adam Singer,III/IV,,III,III,II,I,Excellent,South Central,HS
Hough High Symphonic Band,Robert Carrington,III/IV,,II,II,III,I,Excellent,South Central,HS
Kings Mountain Concert Band,Kevin Clary ,III/IV,,III,III,II,I,Excellent,South Central,HS
Parkwood Symphonic Winds,Jon Sale,III/IV,,III,III,II,I,Excellent,South Central,HS
Phillip O'Berry Concert Band,Walter Suggs,III/IV,,III,III,III,I,Average,South Central,HS
Stuart W. Cramer Concert Band,Kameron Radford,III/IV,,III,III,III,II,Average,South Central,HS
Bessemer City Concert Band,Laradon B. Pilot,IV,,I,I,I,I,Superior,South Central,HS
Burns Concert Band,Hoy Colson,IV,,III,IV,III,II,Average,South Central,HS
Cherryville Concert Band,"Mark Ewing, Jr.",IV,,III,III,II,I,Excellent,South Central,HS
Concord Symphonic Band,Ed Harper,IV,,III,III,II,II,Excellent,South Central,HS
Cox Mill Symphonic Band,Adam Singer,IV,,II,II,II,I,Excellent,South Central,HS
David W. Butler Symphonic Band,Matthew Dowell,IV,,II,II,I,II,Excellent,South Central,HS
Forest Hills Wind Ensemble,Tracy L Humphries,IV,,III,III,I,I,Excellent,South Central,HS
HIckory Ridge Symphonic Band,Chris White,IV,,II,II,I,I,Superior,South Central,HS
Highland Tech Wind Ensemble,William Kaleb Reavis,IV,,III,III,II,I,Excellent,South Central,HS
Hunter Huss Concert Band,Heaven Watson-Weary,IV,,III,III,II,I,Excellent,South Central,HS
Jay M. Robinson Concert Band,Drew Carter,IV,,II,II,II,I,Excellent,South Central,HS
Lincolnton Symphonic Band,Joshua Belvin,IV,,II,II,I,I,Superior,South Central,HS
North Gaston Symphonic Band,Tim Reed,IV,,II,II,I,I,Superior,South Central,HS
Piedmont Community Charter Wind Ensemble,Christopher Cole,IV,,I,I,I,I,Superior,South Central,HS
Porter Ridge Concert Band,Ashleigh Cook,IV,,III,III,II,II,Excellent,South Central,HS
Providence Day Upper School Band,Michael Hough,IV,,II,II,II,I,Excellent,South Central,HS
South Mecklenburg Wind EnsembleP,Michael Hyde,IV,,II,II,I,I,Superior,South Central,HS
Sun Valley Concert Band,Jeff Reynolds,IV,,II,II,II,I,Excellent,South Central,HS
Union Academy Concert Band,Spencer Hinson,IV,,III,III,II,I,Excellent,South Central,HS
West Rowan Symphonic Band,Daniel Trivette,IV,,II,II,II,I,Excellent,South Central,HS
East Gaston Symphonic Band,Brandon Taylor,IV/V,,III,III,II,I,Excellent,South Central,HS
East Rowan Wind Ensemble,Emily McNeil,IV/V,,III,III,II,I,Excellent,South Central,HS
Hopewell WInd Ensemble,Eugene Diggs II,IV/V,,III,III,III,I,Average,South Central,HS
Porter Ridge Symphonic Band,Emmanuel Ross,IV/V,,III,III,II,I,Excellent,South Central,HS
Providence Symphonic Band,Joshua K Potter,IV/V,,I,II,I,I,Superior,South Central,HS
South Point Symphonic Band,Tim Hamilton,IV/V,,I,I,I,I,Superior,South Central,HS
Cuthbertson Blue Note Winds,Todd Ebert,MW,,I,I,I,I,Superior,South Central,HS
Cuthbertson Symphonic Band,Todd Ebert ,V,,I,I,I,I,Superior,South Central,HS
Forestview Symphonic Band,Jerry Smalls,V,,I,I,I,I,Superior,South Central,HS
Hough High WInd Ensemble,Robert Carrington,V,,I,I,I,I,Superior,South Central,HS
Mooresville Symphonic Band,Joshua Stevenson,V,,I,I,I,I,Superior,South Central,HS
Parkwood Wind Ensemble,Jon Sale,V,,II,II,II,II,Excellent,South Central,HS
Piedmont Symphonic Band,Jody Lukac,V,,II,II,II,I,Excellent,South Central,HS
Porter Ridge  Wind Ensemble,Emmanuel Ross & Ashleigh Cook,V,,I,I,I,I,Superior,South Central,HS
Sun Valley Symphonic Band,Jeff Reynolds,V,,II,II,I,I,Superior,South Central,HS
Weddington Wind Ensemble,Jill Brooks,V,,II,II,II,I,Excellent,South Central,HS
Ashbrook Wind Ensemble,Paul Singh Jr.,V/VI,,II,II,II,I,Excellent,South Central,HS
Central Cabarrus Symphonic Band,Tyler Stark,V/VI,,I,I,II,I,Superior,South Central,HS
East Lincoln Symphonic Band,Matthew Brusseau,V/VI,,II,I,II,I,Superior,South Central,HS
Myers Park Wind Ensemble,Whit Blount,V/VI,,I,I,I,I,Superior,South Central,HS
Ardrey Kell Wind Ensemble,Patrick Butler,VI,,II,I,II,I,Superior,South Central,HS
Central Academy Symphonic Band,Craig Retzlaff,VI,,I,I,I,I,Superior,South Central,HS
Charlotte Catholic Symphonic Winds,Timothy Cook ,VI,,III,III,IV,I,Average,South Central,HS
Cox Mill Wind Ensemble,Adam Singer,VI,,I,I,I,II,Superior,South Central,HS
Daivd W. Butler Wind Ensemble,Matthew Dowell,VI,,I,II,I,I,Superior,South Central,HS
East Mecklenburg Symphonic Band,Chris Moreau,VI,,II,II,II,II,Excellent,South Central,HS
Jay M. Robinson Symphonic Band,Drew Carter,VI,,I,I,I,I,Superior,South Central,HS
Kings Mountain Blazer Band,Andrew Washburn,VI,,I,II,II,II,Excellent,South Central,HS
Marvin Ridge Concert Band,Keith James,VI,,II,II,II,I,Excellent,South Central,HS
Mooresville WInd Ensemble,Joshua Stevenson,VI,,I,I,I,I,Superior,South Central,HS
North Lincoln WInd Ensemble,Kevin Still,VI,,II,II,I,I,Superior,South Central,HS
Providence Wind Ensemble,Joshua K Potter,VI,,I,I,I,I,Superior,South Central,HS
Stuart Cramer Raging Storm Wind Ensemble,Kameron Radford,VI,,II,I,I,I,Superior,South Central,HS
Hickory Ridge Wind Ensemble,Chris White,VI/MW,,I,I,I,I,Superior,South Central,HS
Alexander Graham MS,"Grush, Keith",III,c,CO,CO,CO,CO,Comments,South Central,MS
Bailey 7th/8th Grade Band,"Petersen, Ruth",II,,I,I,I,I,Superior,South Central,MS
Belmont 8th Grade Band,"Lineberger, Carrie",II,,III,II,II,I,Excellent,South Central,MS
Bradford Prep 7th/8th Grade Band,"Vergato, David",II,,II,II,II,I,Excellent,South Central,MS
Carmel Cougar Band,"Gattis, Nicholas",II,,I,II,I,I,Superior,South Central,MS
Charles C. Erwin 7th Grade Band,"Ferguson, Sonya",I,,III,III,II,n/a,Average,South Central,MS
Charles C. Erwin 8th Grade Band,"Ferguson, Sonya",II,,II,I,II,I,Superior,South Central,MS
C. C. Griffin Middle School Band,"White, Renae",II,,I,I,I,I,Superior,South Central,MS
Charlotte Latin 6th Grade Band,"Sweer, Pamela",I,,II,II,I,n/a,Excellent,South Central,MS
Charlotte Latin 7th/8th Grade Band,"Sweer, Pamela",I,,II,II,II,n/a,Excellent,South Central,MS
Corriher-Lipe Middle School Band,"Peterson, Jessie",II,,II,II,II,I,Excellent,South Central,MS
Cramerton 8th Grade Band,"Ratchford, Lisa",II,,II,II,II,I,Excellent,South Central,MS
Crestdale Middle School Band,"Robison, Jason",III,,I,I,I,I,Superior,South Central,MS
Cuthbertson 7th Grade Band,"Ebert, Todd",III,,I,II,I,I,Superior,South Central,MS
Cuthbertson 8th Grade Band,"Ebert, Katie",IV,,II,II,II,I,Excellent,South Central,MS
East Lincoln Middle School Band,"Beck, Jennifer",II,,IV,III,III,I,Average,South Central,MS
Harris Road Beginner Band,"Pfeiffer, Leah",I,,I,II,II,n/a,Excellent,South Central,MS
Harris Road Advanced Band,"Pfeiffer, Leah",III,,II,I,I,I,Superior,South Central,MS
Hickory Ridge 7th Grade Band,"Rivero, David",II/III,,II,II,II,I,Excellent,South Central,MS
Hickory Ridge 8th Silver Band,"Stevens, Steve/Rivero, David",II,,I,I,I,I,Superior,South Central,MS
Hickory Ridge 8th Blue Band,"Stevens, Steve",III/IV,,II,II,II,I,Excellent,South Central,MS
Holbrook 8th Grade Band,"Prado, Emily",II,,III,III,III,II,Average,South Central,MS
John Chavis Middle School Band,"Robinson, Elizabeth",II,,III,III,III,II,Average,South Central,MS
Lincoln Charter Middle School Band,"Boorman, Bruce",I/II,,III,IV,IV,n/a,Below Average,South Central,MS
Lincolnton 8th Grdae Band,"Mayhew, Chris",II,,III,III,II,III,Average,South Central,MS
Marvin Ridge 7th Grade Band,"Johnson, LaToya",II,,II,I,II,I,Superior,South Central,MS
Monroe Middle School Band,"McCormick, Cassandra",I/II,,I,II,II,n/a,Excellent,South Central,MS
Mt. Holly Middle School Band,"Moore, Rachel",II,,CO,CO,CO,CO,Comments,South Central,MS
North Lincoln 7th/8th Grade Band,"Stokes, Mitchell",II,,III,III,III,II,Average,South Central,MS
Parkwood Middle School Band,"Lachenmyer, Angela",I/II,,II,II,II,n/a,Excellent,South Central,MS
Piedmont 8th Grade Band,"Vitulli, Amy",II/III,,III,II,II,I,Excellent,South Central,MS
Porter Rdige 8th Grade Band,"Tomberlin, Stephanie",III,,II,II,I,I,Superior,South Central,MS
Providence Day Middle School Band,"Hough, Michael",III,,II,I,II,I,Superior,South Central,MS
Quail Hollow Middle School Band,"Morrison, Kevin",III/IV,,III,IV,IV,II,Average,South Central,MS
Queen's Grant Middle School Band,"Shultz, Molly",I/II,,IV,IV,IV,n/a,Below Average,South Central,MS
Randolph 8th Grade Band,"Dickens, James",II,,III,III,III,II,Average,South Central,MS
Ridge Road Raven Band,"Wise, Kimberly",I/II,,IV,III,III,n/a,Average,South Central,MS
Scholars Academy 7th/8th Grade Band,"Morris, Donald",II,,III,III,III,III,Average,South Central,MS
Southwest 7th/8th Grade Band,"Myers, Eric",II,,II,I,I,I,Superior,South Central,MS
Stanley 8th Grade Band,"Robb, Kelly",II,,II,II,II,I,Excellent,South Central,MS
Sun Valley 8th Grade Band,"Day, Nattasia",III,,III,III,II,I,Excellent,South Central,MS
Union Academy 6th Grade Band,"Hinson, Spencer",I,,II,III,III,n/a,Average,South Central,MS
Union Academy 8th Grade Band,"Hinson, Spencer",III,,II,II,I,I,Superior,South Central,MS
Waddell LA 6th Grade Band,"Sutton, Michael",I,,III,II,II,n/a,Excellent,South Central,MS
Waddell LA 7th/8th Grade Band,"Sutton, Michael",III,,II,II,II,II,Excellent,South Central,MS
W. C. Friday 8th Grade Band,"Owens, Cindy",II,,I,I,I,I,Superior,South Central,MS
Weddington 7th Grade Band,"Rogers, Mekel/Eudy, Taylor",I,,CO,CO,CO,n/a,Comments,South Central,MS
Weddington 8th Grade Band,"Brooks, Jill",II,,I,I,I,I,Superior,South Central,MS
West Rowan Concert Band,"Bowman, Nathan",I,,III,III,III,n/a,Average,South Central,MS
West Rowan Symphonic Band,"Bowman, Nathan",II,,I,II,I,I,Superior,South Central,MS
West Stanly Middle School Band,"Wooten, Amanda",I/II,,III,III,III,n/a,Average,South Central,MS
South Brunswick HS Concert Band,Jonathon Moore,III,,I,I,II,I,Superior,Southeastern,HS
Fairmont HS Concert Band,Christian Roseboro,III,,III,III,III,I,Average,Southeastern,HS
Midway HS Concert Band ,Joshua Tew,III,,I,I,I,I,Superior,Southeastern,HS
Northwood Temple 8/12 Gr. Band,John Wright,IV,,I,I,I,I,Superior,Southeastern,HS
Jack Britt HS Symphonic Winds,Timothy Parsons,IV,,I,I,I,I,Superior,Southeastern,HS
South Brunswick HS Wind Ensemble,Jonathon Moore,V,,I,I,I,I,Superior,Southeastern,HS
Scotland HS Symphonic Band,Britton Goodwin,V,,II,II,I,I,Superior,Southeastern,HS
Cape Fear HS Wind Ensemble,Michael Williams,VI,,I,I,I,,Superior,Southeastern,HS
Hobbton HS Band,Geoffery Tart,III,,II,II,II,I,Excellent,Southeastern,HS
South Johnston HS Band,Ryan Spell,III,,II,II,II,II,Excellent,Southeastern,HS
Scotland HS Concert Band,Matthew Jorgensen,III,,I,I,I,I,Superior,Southeastern,HS
Pine Forest HS Band,James Richardson,IV,,II,II,I,I,Superior,Southeastern,HS
Union Pines HS Concert Band,Rob Hill,III,,II,I,II,I,Superior,Southeastern,HS
Corinth Holders HS Concert Band,Olivia Spell,III/IV,,II,II,II,I,Excellent,Southeastern,HS
Western Harnett HS Band,Curt Collins,IV,,I,I,I,I,Superior,Southeastern,HS
Terry Sanford HS Wind Ensemble,Chris Langdon ,IV,,I,II,I,II,Superior,Southeastern,HS
South View HS Band,Al Strickland,IV,,I,I,II,I,Superior,Southeastern,HS
North Brunswick HS Band,Christopher Cook,IV,,II,I,I,I,Superior,Southeastern,HS
Overhills HS Band,Ryan McPhail,IV,,II,II,II,I,Excellent,Southeastern,HS
EE Smith HS Symphonic Band,Roosevelt Pratt ,V,,II,II,I,I,Superior,Southeastern,HS
Union Pines HS Wind Ensemble,Rob Hill,VI,,II,II,II,II,Excellent,Southeastern,HS
Clayton HS Wind Ensemble,Bobby McFarland,VI,,I,I,I,I,Superior,Southeastern,HS
East Duplin HS Band,Thomas Seaman,III,,II,II,II,I,Excellent,Southeastern,HS
North Moore HS Band,Clay Perry,IV,,I,II,I,II,Superior,Southeastern,HS
Southen Lee HS Wind Ensemble,Angela Matthews,III,,IV,IV,III,III,Average,Southeastern,HS
West Johnston HS Concert Band,Lucas Meade,IV,,III,III,III,II,Average,Southeastern,HS
EE Smith HS Concert Band,Roosevelt Pratt ,III/IV,,I,I,I,I,Superior,Southeastern,HS
North Johnston HS Band,Mitchell Townley,IV,,I,I,I,II,Superior,Southeastern,HS
Westover HS Symphonic Band,Austin Chalmers,III/IV,,I,I,I,I,Superior,Southeastern,HS
Hoke County HS Band ,DeVon Pickett,V/VI,,II,II,I,I,Superior,Southeastern,HS
Corinth Holders HS Wind Ensemble ,Olivia Spell,V/VI,,I,I,II,II,Superior,Southeastern,HS
West Johnston HS Wind Ensemble,Lucas Meade,VI,,I,I,I,III,Superior,Southeastern,HS
Pinecrest HS Band,Eugene Cottrell,VI,,II,II,I,I,Superior,Southeastern,HS
Spring Hill MS 8th Grade Band,Jamie Bream,II/III,,I,I,I,I,Superior,Southeastern,MS
Max Abbott MS 8th Grade Band,Julie Jordan,II,,II,II,I,I,Superior,Southeastern,MS
New Century MS 8th Grade Band,Jessica Simmons,II,,III,III,II,I,Excellent,Southeastern,MS
Carver MS 8th Band,Jennifer Fore,II,,II,II,II,I,Excellent,Southeastern,MS
Southern MS 8th Grade Band,Wendy Edgerley,II,,I,I,I,I,Superior,Southeastern,MS
Leland MS 7th Grade Band,Brenda Flowers,I,,I,I,I,n/a,Superior,Southeastern,MS
Leland MS 8th Grade Band,Brenda Flowers,II,,I,I,I,I,Superior,Southeastern,MS
SanLee MS Band,Cole Merricks,I,,III,III,II,n/a,Average,Southeastern,MS
Four Oaks MS 7th Grade Band,Sam Carter,I,,IV,IV,III,n/a,Below Average,Southeastern,MS
Gray's Creek MS 8th Grade Band,Steven Kelly,II,,II,I,II,I,Superior,Southeastern,MS
Northwood Temple 6/7th Grade Band,John Wright,II,,I,I,I,I,Superior,Southeastern,MS
Cape Fear Academy 8th Gr. Concert Band,Erika Batalla,II,,II,III,II,II,Excellent,Southeastern,MS
Hope Mills MS Concert Band,Paul Ingram,I,,III,III,III,n/a,Average,Southeastern,MS
Mac Williams MS Concert Band,Felicia MacNaught/Ted Tinker,II,,I,I,I,I,Superior,Southeastern,MS
West Pine MS Honors Band,Betsy Evers,II/III,,I,I,I,I,Superior,Southeastern,MS
Archer Lodge MS 7th Grade Band,Paula Hales,II,,II,II,II,I,Excellent,Southeastern,MS
Riverwood MS 8th Grade Band,Anthony Hingley,III,,II,I,II,I,Superior,Southeastern,MS
Archer Lodge MS 8th Grade Band,Paula Hales,III,,I,I,I,I,Superior,Southeastern,MS
Hope Mills MS Concert Band,Paul Ingram,I,,III,III,III,II,Average,Southeastern,MS
Spring Lake MS Concert Band,Gabriel Terry,I,,III,III,III,n/a,Average,Southeastern,MS
Highland MS Band,Mark Mabe,II,,I,II,II,I,Superior,Southeastern,MS
Swift Creek MS 7th Grade Band,Steven Rainville,II,,II,II,I,II,Excellent,Southeastern,MS
Cleveland MS 8th Gr. Concert Band,Paul Black ,II,,II,II,I,I,Superior,Southeastern,MS
Mac Williams MS Symphonic Band,Felicia MacNaught/Ted Tinker,III,,I,I,I,I,Superior,Southeastern,MS
John Griffin MS 8th Grade Band ,Alison Boore,II,,I,I,I,I,Superior,Southeastern,MS
Swift Creek MS 8th Grade Band,Steven Rainville,III,,II,II,II,II,Excellent,Southeastern,MS
Hayesville High School Concert Band,Jennifer Gibson,II/III,,II,II,II,I,Excellent,Western,HS
Mountain Heritage High School Concert Band,Andrew Shelton,III,,I,I,I,I,Superior,Western,HS
Polk County High School Wind Ensemble,Cindy Gilbert,III,,I,II,II,II,Excellent,Western,HS
Hendersonville High School Concert Band,James Phillips,III/IV,,III,III,III,I,Average,Western,HS
Clyde A Erwin High School Symphonic Band,David Sulzman,IV,,II,II,II,I,Excellent,Western,HS
Tuscola High School Concert Band,Dilllion Ingle/Tim Wise,IV,,I,I,II,I,Superior,Western,HS
Asheville High School Symphonic Band,Laura Marsh,IV,,I,II,I,I,Superior,Western,HS
North Buncombe High School Concert Band,Nathan Brown,IV,,I,II,II,II,Excellent,Western,HS
Swain High School Concert Band,Karen Williams Lanning,IV,,I,I,I,I,Superior,Western,HS
Chase High School Symphonic Band,Michael Henderson,IV,,III,III,III,II,Average,Western,HS
North Henderson High School Concert Band,Steve Sigmon,V,,I,I,I,II,Superior,Western,HS
Pisgah High School Symphonic Band,Stephen Parris,IV/V,,I,II,II,I,Superior,Western,HS
Hendersonville High School Symphonic Band,James Phillips,V,,II,III,III,II,Excellent,Western,HS
TC Roberson High School Symphonic Band,Jim Kirkpatrick,MW,,I,I,I,I,Superior,Western,HS
North Henderson High School Wind Ensemble,Steve Sigmon,MW,,I,I,I,II,Superior,Western,HS
Robbinsville High School Concert Band,Jameson Stout,II,,III,III,III,I,Average,Western,HS
Rosman Symphonic Band,Katerina Canter,III,,II,II,II,I,Excellent,Western,HS
Franklin HS Symphonic Band,Buddy Huckabee,III/IV,,CO,CO,CO,CO,Comments,Western,HS
Charles D Owen High School Concert Band,Tyson Hamrick,III/IV,,III,III,III,I,Average,Western,HS
Asheville Christian Academy Symphonic Band,Alexander Panagiotacos,IV,,II,III,III,I,Excellent,Western,HS
McDowell High School Concert Band,Jenny Lanier,IV,,III,III,III,I,Average,Western,HS
AC Reynolds High School Concert Band,Sean Smith,IV,,I,I,I,I,Superior,Western,HS
West Henderson High School Concert Band,Allen Klaes,IV,,I,II,II,I,Superior,Western,HS
Brevard High School Wind Ensemble,Jim Leatherwood,V,,I,I,I,I,Superior,Western,HS
Enka High School Symphoinc Band,Kevin Young,V,,I,II,II,I,Superior,Western,HS
Charles D Owen High School Wind Ensemble,Tyson Hamrick,V/VI,,II,II,II,I,Excellent,Western,HS
McDowell High School Wind Ensemble,Jenny Lanier,V/VI,,II,II,II,I,Excellent,Western,HS
Asheville High School Wind Symphony,Jonathan Bass,VI,,I,I,I,I,Superior,Western,HS
Tuscola High School Symphony Band,Tim Wise/Dillon Ingle,VI,,I,I,I,II,Superior,Western,HS
West Henderson High School Wind Ensemble,Allen Klaes,VI,,II,II,II,II,Excellent,Western,HS
North Buncombe High School Wind Ensemble,Nathan Brown,VI,,II,III,III,II,Excellent,Western,HS
AC Reynolds High School Symphonic Band,Sean Smith,MW,,I,I,I,I,Superior,Western,HS
Madison Middle School 8th Grade Band,Brett Anderson,I/II,,II,II,II,n/a,Excellent,Western,MS
Swain County High School 8th Grade Band,Tim Sale,II,,II,II,II,I,Excellent,Western,MS
Rosman Middle School Band,Katerina Canter,II,,CO,CO,CO,CO,Comments,Western,MS
AC Reynolds Middle School Band,Greg Love,II/III,,II,II,II,I,Excellent,Western,MS
Mitchell County Concert Band,Matt Sanders,II/III,,II,II,II,II,Excellent,Western,MS
IC Imagine Honors Band,Shawn Wellman/Chelesy Montgomery,III,,I,I,I,I,Superior,Western,MS
Valley Springs Middle School Band,Bryon Graeber,III,,I,I,I,I,Superior,Western,MS
Asheville Middle School 8th Grade Band,Amy Shaffer/Ana Bulluck,III,,II,II,II,I,Excellent,Western,MS
Asheville Christian Academy Concert Band,Alexander Panagiotacos,III,,II,II,II,II,Excellent,Western,MS
Waynesville Middle School Symphonic Band,Adam Stewart/Samuel Bogan,III,,I,I,I,I,Superior,Western,MS
Enka Middle School 8th Grade Band,Kevin Kimbrough,III,,II,II,II,I,Excellent,Western,MS
Cane Creek Middle School Honors Band,Clif Dodson,IV,,II,II,II,I,Excellent,Western,MS
Andrews Middle School 6-8 Band,Joslyn Parker-Booth,I,,I,I,I,n/a,Superior,Western,MS
Apple Valley Middle School 7th Grade Band,Ryan Summers,I/II,,I,I,I,n/a,Superior,Western,MS
Cane Creek Middle School Advanced Band,Clif Dodson,II,,II,II,I,II,Excellent,Western,MS
CA Erwin Middle School 8th Grade Band,Kimberley Benson,II,,II,II,II,I,Excellent,Western,MS
Macon Middle School,Thomas Graham,II,,I,I,I,I,Superior,Western,MS
Asheville Middle School 7th Grade Band,Ana Bulluck,II,,I,I,I,I,Superior,Western,MS
Enka Middle School 7th Grade Band,Kevin Kimbrough,II,,I,I,I,I,Superior,Western,MS
Hendersonville Middle School 8th Grade Band,Daniel Dickens,III,,I,I,I,I,Superior,Western,MS
Rugby Middle School 8th Grade Band,Kelly Saunders,III,,I,I,I,II,Superior,Western,MS
North Buncombe 8th Grade Band,Shawn Benfield/Dustin Neilsen,III,,II,II,I,I,Superior,Western,MS
