School,Director(s),Grade,Judge 1,Judge 2,Judge 3,SR,Overall,District,Level
Parkwood Symphonic Band,Archie Wallace,III,II,II,III,I,Excellent,South Central,HS
Piedmont Concert Band,Jody Lukac,III,II,I,I,I,Superior,South Central,HS
Porter Ridge Concert Band,Ian Faires,III,I,I,II,I,Superior,South Central,HS
South Point Concert Band,Tim Hamilton,III,II,II,II,I,Excellent,South Central,HS
Stuart W. Cramer Concert Band,Kameron Radford,III,II,II,II,I,Excellent,South Central,HS
Mooresville Concert Band,Alaina Smith,III/IV,I,I,I,I,Superior,South Central,HS
,8,,,,,,,,
Olympic Symphonic Band,James Smallwood,III/IV,II,II,II,I,Excellent,South Central,HS
Union Academy Symphonic Band,Larynn DeLuca,III/IV,II,III,II,II,Excellent,South Central,HS
Ardrey Kell Symphonic Band,Patrick Butler,IV,III,II,II,I,Excellent,South Central,HS
Bessemer City Concert Band,Laradon Pilot,IV,II,I,I,II,Superior,South Central,HS
Charlotte Latin School Band,Jocquin Fuller,IV,I,I,I,I,Superior,South Central,HS
Cherryville Concert Band,Ashleigh Cook,IV,I,I,II,I,Superior,South Central,HS
Concord Symphonic Band,Ed Harper,IV,I,II,I,II,Superior,South Central,HS
Cox Mill Symphonic Band,Adam Singer,IV,II,I,II,II,Superior,South Central,HS
David W Butler Symphonic Band,Matt Dowell,IV,I,I,II,I,Superior,South Central,HS
East Gaston Symphonic Band,Brandon Taylor,IV,I,II,II,II,Excellent,South Central,HS
Forest Hills Wind Ensemble,Tracy Humphries,IV,II,I,I,I,Superior,South Central,HS
Hough Symphonic Band,Robert Carrington,IV,I,I,I,I,Superior,South Central,HS
Hunter Huss Concert Band,Heaven Watson-Weary,IV,I,I,II,II,Superior,South Central,HS
Mooresville Symphonic Band,Joshua Stevenson,IV,I,I,I,II,Superior,South Central,HS
North Gaston Symphonic Band,Tim Reed,IV,II,II,I,I,Superior,South Central,HS
Phillip O. Berry Concert Band,Walter Suggs,IV,III,II,III,II,Excellent,South Central,HS
Piedmont Community Charter Wind Ensemble,Chris Cole,IV,I,I,I,I,Superior,South Central,HS
Weddington Symphonic Band,Jill Brooks,IV,II,II,II,I,Excellent,South Central,HS
Burns Concert Band,Hoy Colson,IV/V,II,II,II,II,Excellent,South Central,HS
Crest High School Band,Bonnie Scruggs,IV/V,II,II,II,II,Excellent,South Central,HS
East Lincoln Wind Ensemble,Matthew Brusseau,IV/V,II,I,I,I,Superior,South Central,HS
East Rowan Wind Ensemble,Emily McNeil,IV/V,II,I,I,I,Superior,South Central,HS
Hickory Ridge Symphonic Band,Chris White,IV/V,I,I,I,I,Superior,South Central,HS
Parkwood Wind Ensemble,Archie Wallace,IV/V,II,I,II,I,Superior,South Central,HS
South Point Symphonic Band,Tim Hamilton,IV/V,II,II,II,I,Excellent,South Central,HS
West Lincoln Wind Ensemble,Taylor Brown,IV/V,I,I,I,I,Superior,South Central,HS
Ashbrook Wind Ensemble,Paul Singh,V,II,I,II,I,Superior,South Central,HS
Central Acdemy of Technology and Arts,Carig Retzlaff,V,I,I,I,I,Superior,South Central,HS
Central Cabarrus Symphonic Band,Tyler Stark,V,I,II,II,I,Superior,South Central,HS
Cox Mill Wind Ensemble,Adam Singer,V,II,II,I,I,Superior,South Central,HS
Cuthbertson Wind Ensemble,Todd Ebert,V,I,I,I,I,Superior,South Central,HS
Forestview Wind Ensemble,Nick Gibson,V,I,I,II,I,Superior,South Central,HS
Lincolnton Wind Ensemble,Josh Belvin,V,I,I,I,I,Superior,South Central,HS
Mount Pleasant Symphonic Band,Bart Tulbert,V,I,I,I,I,Superior,South Central,HS
Piedmont Symphonic Band,Jody Lukac,V,I,I,I,II,Superior,South Central,HS
South Meck Wind Ensemble,Michael Hyde,V,II,II,III,II,Excellent,South Central,HS
Sun Valley Symphonic Band,Jeff Reynolds,V,I,I,II,I,Superior,South Central,HS
Union Academy Wind Ensemble,Angela Lachenmayr,V,II,II,II,I,Excellent,South Central,HS
West Rowan Wind Ensemble,Daniel Trivette,V,II,I,I,I,Superior,South Central,HS
,9,,,,,,,,
Charlotte Catholic High School Symphonic Winds,Timothy Cook,V/VI,I,I,I,I,Superior,South Central,HS
Hough Wind Ensemble,Robert Carrington,V/VI,III,II,II,II,Excellent,South Central,HS
Myers Park Wind Ensemble,Whit Blount,V/VI,I,I,I,I,Superior,South Central,HS
North Lincoln Wind Ensemble,Kevin Still,V/VI,I,I,II,I,Superior,South Central,HS
Stuart W. Cramer Wind Ensemble,Kameron Radford,V/VI,I,I,I,I,Superior,South Central,HS
Ardrey Kell Wind Ensemble,Patrick Butler,VI,I,I,I,I,Superior,South Central,HS
David W. Butler Wind Ensemble,Matt Dowell,VI,I,I,I,I,Superior,South Central,HS
East Mecklenburg Symphonic Band,Chris Moreau,VI,II,II,I,I,Superior,South Central,HS
Jay M. Robinson Symphonic Band,Drew Carter,VI,I,I,I,II,Superior,South Central,HS
Marvin Ridge Concert Band,Keith James,VI,I,I,I,II,Superior,South Central,HS
Cuthbertson Blue Note Winds,Todd Ebert,VI/MW,I,I,I,I,Superior,South Central,HS
Mooresville Wind Ensemble,Joshua Stevenson,VI/MW,I,I,I,I,Superior,South Central,HS
Cedar Grove Middle School Band,Casey Black,I,III,III,III,N/A,Average,Southeastern,MS
Leland Middle School 7th Grade Band,Brenda Flowers,I,I,I,I,N/A,Superior,Southeastern,MS
Archer Lodge Middle School Concert Band,Paula Coyle,II,III,III,III,III,Average,Southeastern,MS
Carver Middle School 8th Grade Band,Jennifer Fore,II,II,II,II,I,Excellent,Southeastern,MS
Highland Middle School Band,Mark Mabe,II,II,II,II,II,Excellent,Southeastern,MS
Hope Mills Middle School Concert Band,Paul Ingram,II,IV,IV,IV,II,Below Average,Southeastern,MS
Hope Mills Middle School Symphonic Band,Paul Ingram,II,III,IV,III,II,Average,Southeastern,MS
Leland Middle School 8th Grade Band,Brenda Flowers,II,I,I,I,I,Superior,Southeastern,MS
Mac Williams Middle School Concert,Felicia MacNaught/Ted Tinker,II,I,I,I,I,Superior,Southeastern,MS
Max Abbott Middle School,Julia Jordan,II,II,II,II,I,Excellent,Southeastern,MS
New Century Middle School 7th Grade,Jessica Simmons,II,III,III,III,I,Average,Southeastern,MS
Northwood Temple 6th/7th Grade Band,John Wright,II,II,II,II,II,Excellent,Southeastern,MS
Southern Middle School,Wendy Edgerley,II,I,I,II,I,Superior,Southeastern,MS
Spring Hill Middle School 8th Grade,Jamie Bream,II,I,I,I,I,Superior,Southeastern,MS
Swift Creek Middle School Band,Steven Rainville,II,CO,CO,CO,CO,Comments Only,Southeastern,MS
West Pine Middle School,Betsy Evers,II,I,I,I,I,Superior,Southeastern,MS
New Century Middle School 8th Grade Band,Jessica Simmons,II/III,IV,IV,III,I,Average,Southeastern,MS
Archer Lodge Middle School Symphonic,Paula Coyle,III,II,III,III,I,Excellent,Southeastern,MS
Mac Williams Middle School Symphonic Band,MacNaught/Tinker,III,I,I,I,I,Superior,Southeastern,MS
Northwood Temple 8th-IIIth Grade Band,John Wright,IV,I,I,I,I,Superior,Southeastern,MS
Corinth Holders High School Concert,Olivia Spell,III,II,II,II,I,Excellent,Southeastern,HS
Scotland High School Concert,Matthew Jorgensen,III,I,I,I,I,Superior,Southeastern,HS
South Johnston High School Band,Ryan Spell,III,II,II,II,II,Excellent,Southeastern,HS
Westover High School,Austin Chalmers,III,II,II,II,II,Excellent,Southeastern,HS
Whiteville High School,Emmanuel Ross,III,III,III,III,I,Average,Southeastern,HS
North Johnston High School Band,Mitchell Townley,III/IV,II,II,I,II,Excellent,Southeastern,HS
Cape Fear High School Concert Band,Michael Williams,IV,I,I,I,I,Superior,Southeastern,HS
,10,,,,,,,,
Clinton High School Band,Travis Jordan,IV,II,II,II,II,Excellent,Southeastern,HS
Grays Creek High School Symphonic Band,Steve West,IV,I,I,I,I,Superior,Southeastern,HS
North Brunswick High School Band,Christopher Cook,IV,I,II,I,II,Superior,Southeastern,HS
Richmond Senior High School Band,Mike Ward,IV,II,II,II,II,Excellent,Southeastern,HS
South Columbus High School Band,Crystal Hairston,IV,III,II,II,II,Excellent,Southeastern,HS
South View High School,Al Strickland,IV,II,II,II,II,Excellent,Southeastern,HS
Terry Sanford High School,Chris Langdon,IV,II,II,II,I,Excellent,Southeastern,HS
Union Pines High School Symphonic Band,Rob Hill,IV,II,II,II,II,Excellent,Southeastern,HS
West Bladen High School Symphonic Band,Alan Martin,IV,II,III,II,III,Excellent,Southeastern,HS
Western Harnett High School Symphonic Band,Curt Collins,IV,I,II,I,I,Superior,Southeastern,HS
Pine Forest High School,James Richardson,IV/V,II,II,II,II,Excellent,Southeastern,HS
Corinth Holders High School Wind Ensemble,Olivia Spell,V,II,I,I,I,Superior,Southeastern,HS
EE Smith High School Symphonic Band,Roosevelt Pratt,V,I,I,I,I,Superior,Southeastern,HS
Scotland High School Symphonic,Britton Goodwin,V,I,I,I,I,Superior,Southeastern,HS
South Brunswick High School,Jonathon Moore,V,I,I,I,I,Superior,Southeastern,HS
Cape Fear High School Wind Ensemble,Michael Williams,VI,I,I,I,I,Superior,Southeastern,HS
Union Pines High School Wind Ensemble,Rob Hill,VI,I,II,I,I,Superior,Southeastern,HS
Andrews Middle School 6-8 Band,Joslyn Parker-Booth,I,I,I,I,N/A,Superior,Western,MS
Asheville Middle School 6th Grade Band,Amy Shaffer/Ana Bulluck,I,I,I,I,N/A,Superior,Western,MS
Bethel Middle School 7th/8th Grade,Elise Parham,I,CO,CO,CO,N/A,Comments Only,Western,MS
RS Central Middle School,Ryan Kisner,I,III,III,III,N/A,Average,Western,MS
Swain County Middle School 7th Grade Band,Tim Sale,I,CO,CO,CO,N/A,Comments Only,Western,MS
Chase Middle School 7 & 8 Grade Band,Kenneth Collins,I/II,III,III,III,N/A,Average,Western,MS
Asheville Christian Academy Middle School Band,Alexander Panagiotacos,II,II,II,I,I,Superior,Western,MS
Asheville Middle School 7th Grade Concert Band,Ana Bulluck/Amy Shaffer,II,I,I,I,I,Superior,Western,MS
Cane Creek Middle School Advanced Band,Clif Dodson,II,I,I,I,I,Superior,Western,MS
Enka Middle School 7th Grade Band,Kevin Kimbrough,II,II,II,II,II,Excellent,Western,MS
IC Imagine Honors Band,Shawn Wellman/Chelsey Montgomery,II,CO,CO,CO,N/A,Comments Only,Western,MS
Macon Middle School,Thomas Graham/Alex Canup,II,I,I,II,I,Superior,Western,MS
Madison Middle School Symphonic Band,Drew Brooks,II,III,III,III,II,Average,Western,MS
North Buncombe 7th Grade Band,Shawn Benfield/Dustin Nielson,II,II,II,II,I,Excellent,Western,MS
Rugby Middle School 8th Grade Band,Kelly Saunders,II,I,I,I,I,Superior,Western,MS
Swain County Middle School 8th Grade Band,Tim Sale,II,III,III,III,II,Average,Western,MS
Enka Middle School 8th Grade Band,Kevin Kimbrough,II/III,II,I,II,I,Superior,Western,MS
North Buncombe 8th Grade Band,Shawn Benefield/Dustin Nielsen,II/III,I,I,I,I,Superior,Western,MS
Cane Creek Honors Symphonic Band,Clif Dodson,III,I,I,I,I,Superior,Western,MS
Hayesville High School Concert Band,Jennifer Gibson,III,III,III,III,II,Average,Western,MS
Hendersonville Middle School Band,Buddy Gudger,III,I,I,I,I,Superior,Western,MS
Rosman Symphonic Band,Katerina Canter,III,I,I,I,I,Superior,Western,MS
Valley Springs Middle School 8th Grade Band,Bryon Graeber,III,I,I,I,I,Superior,Western,MS
Apple Valley Middle School Symphonic,Ryan Summers,IV,II,II,II,II,Excellent,Western,MS
,11,,,,,,,,
Mitchell High School Concert Band,Matthew Sanders,II,CO,CO,CO,N/A,Comments Only,Western,HS
A.C. Reynolds Middle School Band,Greg Love,III,II,II,II,I,Excellent,Western,HS
Chase High School Band,Michael Henderson,III,I,I,I,I,Superior,Western,HS
East Henderson High School Symphonic Band,Colton Stewart,III,III,III,III,I,Average,Western,HS
Hendersonville High School Concert Band,James Phillips,III,I,II,I,I,Superior,Western,HS
West Henderson High School Concert Band,Allen Klaes,III,I,I,I,I,Superior,Western,HS
Asheville Christian Academy Wind Ensemble,Alexander Panagiotacos,IV,I,II,I,I,Superior,Western,HS
North Buncombe High School Concert,Richard Bordeman,IV,II,II,II,I,Excellent,Western,HS
North Henderson High School Concert Band,Steve Sigmon,IV,I,I,I,II,Superior,Western,HS
Owen High School,Tyson Hamrick,IV,II,II,I,II,Excellent,Western,HS
Pisgah HS Band,Stephen Parris,IV,I,II,II,I,Superior,Western,HS
Swain High School Concert Band,Karen Williams,IV,II,II,II,I,Excellent,Western,HS
TC Roberson High School Concert Band,Jim Kirkpatrick,IV,I,I,II,II,Superior,Western,HS
Tuscola Concert Band,Dillion Ingle/Tim Wise,IV,I,II,I,I,Superior,Western,HS
AC Reynolds Concert,Richard Smith,IV/V,I,I,I,I,Superior,Western,HS
Enka High School Symphonic Band,Kevin Young,IV/V,II,II,I,I,Superior,Western,HS
Brevard High School Wind Ensemble,Jim Leatherwood,V,II,I,II,I,Superior,Western,HS
Hendersonville High School Symphonic Band,James Phillips,V,II,II,II,I,Excellent,Western,HS
Smoky Mountain HS Wind Ensemble,Andrew Umphlett,V,II,II,II,II,Excellent,Western,HS
North Buncombe High School Wind Ensemble,Richard Bordeman,VI,I,I,I,I,Superior,Western,HS
TC Roberson Symphonic Band,Jim Kirkptrick,VI,I,I,I,I,Superior,Western,HS
West Henderson High School Wind Ensemble,Allen Klaes,VI,II,I,I,I,Superior,Western,HS
AC Reynolds High School Symphonic Band,Sean Smith,VI/MW,I,I,I,I,Superior,Western,HS
Asheville High School Wind Symphony,Tim McCoy,VI/MW,II,II,II,I,Excellent,Western,HS
North Henderson High School Wind Ensemble,Steve Sigmon,VI/MW,II,II,I,I,Superior,Western,HS
,12,,,,,,,,
Grade,,Score,Score,Overall
I,,I,I,Superior
I/II,,II,II,Excellent
II,,III,III,Average
II/III,,IV,IV,Below Average
III,,V,V,Poor
III/IV,,CO,n/a,
IV,,,CO,
IV/V,,,,
V,,,,
V/VI,,,,
VI,,,,
VI/MW,,,,
,,,1,
District,,Level
Central,,MS
Eastern,,HS
Northwestern,,
South Central,,
Southeastern,,
Western,,
,,2
